age,gender,year in school,where do you live,frat or soro member,activ:religion,binge drink,drug use:marijuana,drug use:cigarettes,number_of_sexual_partners,GPA,GPA Recode,Recode:marijuana,Recode:cigarettes
24,male,senior,off-campus,no,very import,none,"used, > 12mos","used, > 12mos",1,B,B,Used,Previous User
21,female,junior,off-campus,no,not impt,3-5 times,used past 30d,used past 30d,0,B,B,Used,Current User
20,female,junior,off-campus,no,important,none,"used, > 30day",never used,1,B-,B,Used,never used
19,male,sophomore,co-ed dorm,no,not impt,none,never used,never used,,B,B,never used,never used
19,female,sophomore,frat/sorority,yes,important,once,"used, > 12mos",used past 30d,1,C+,C,Used,Current User
18,male,freshman,co-ed dorm,no,very import,twice,never used,never used,,C,C,never used,never used
22,male,senior,off-campus,no,somewhat imp,none,never used,never used,1,B+,B,never used,never used
21,female,junior,co-ed dorm,no,not impt,none,"used, > 30day",never used,1,A-,A,Used,never used
19,male,freshman,co-ed dorm,no,somewhat imp,none,"used, > 30day",never used,1,B+,B,Used,never used
22,female,=> 5th yr,off-campus,no,important,none,never used,"used, > 12mos",1,B,B,never used,Previous User
18,female,freshman,co-ed dorm,no,not impt,twice,"used, > 30day",used past 30d,1,B,B,Used,Current User
20,female,sophomore,off-campus,no,somewhat imp,6-9 times,"used, > 30day",used past 30d,1,B-,B,Used,Current User
21,male,senior,off-campus,no,somewhat imp,twice,never used,never used,0,B+,B,never used,never used
19,female,sophomore,co-ed dorm,no,not impt,none,never used,"used, > 12mos",,B,B,never used,Previous User
21,female,junior,off-campus,no,somewhat imp,twice,never used,never used,0,A,A,never used,never used
21,female,senior,oth univ hsg,no,very import,,never used,never used,1,A-,A,never used,never used
26,male,junior,off-campus,no,not impt,once,"used, > 12mos",used past 30d,1,B,B,Used,Current User
22,female,=> 5th yr,off-campus,no,not impt,once,never used,"used, > 12mos",1,A,A,never used,Previous User
21,male,senior,off-campus,no,,twice,used past 30d,"used, > 12mos",1,B-,B,Used,Previous User
19,female,sophomore,oth univ hsg,no,not impt,none,"used, > 30day",used past 30d,0,B,B,Used,Current User
21,male,freshman,co-ed dorm,no,not impt,6-9 times,"used, > 30day",used past 30d,0,B+,B,Used,Current User
24,female,junior,off-campus,no,not impt,once,"used, > 12mos",used past 30d,1,A-,A,Used,Current User
19,female,freshman,co-ed dorm,no,somewhat imp,none,never used,never used,,A,A,never used,never used
19,male,freshman,off-campus,no,somewhat imp,none,never used,"used, > 12mos",0,A-,A,never used,Previous User
18,female,freshman,off-campus,no,very import,none,never used,never used,,A,A,never used,never used
21,female,senior,off-campus,no,not impt,once,"used, > 12mos",never used,1,B+,B,Used,never used
18,male,freshman,co-ed dorm,no,not impt,twice,never used,never used,0,C-,C,never used,never used
21,male,senior,off-campus,no,very import,none,"used, > 12mos",used past 30d,0,B,B,Used,Current User
